Ingredient,Type,Purpose,Skin Type
Ascorbic Acid,Vitamin C,"Antioxidant, brightening, collagen synthesis",all skin types
Acacia Senegal Gum,Plant Extract,"Moisturizing, film-forming","dry,sensitive"
Lactic Acid,Alpha Hydroxy Acid (AHA),"Exfoliating, brightening","oily,combination"
Serine,Amino Acid,"Moisturizing, skin repair","dry,sensitive"
Sodium Lactate,Humectant,"Moisturizing, skin conditioning","dry,sensitive"
Sorbitol,Humectant,"Moisturizing, skin conditioning","dry,sensitive"
Urea,"Humectant, Exfoliant","Moisturizing, exfoliating","dry,sensitive"
Ceramide NP,Lipid,"Restores skin barrier, hydrating","dry,sensitive,all"
Citric Acid,Alpha Hydroxy Acid (AHA),"pH adjuster, exfoliating","oily,combination"
Sodium Hyaluronate,Humectant,"Deep hydration, plumping",all skin types
Sodium Chloride,Salt,"Thickening agent, pH adjuster",all skin types
Potassium Sorbate,Preservative,"Antimicrobial, preservative",all skin types
Phenoxyethanol,Preservative,"Antimicrobial, preservative",all skin types
Ci 77163 (Bismuth Oxychloride),Colorant,"Adds color, opacifier",all skin types
Ci 77891 (Titanium Dioxide),"Colorant, Sunscreen","Provides white opacity, UV filter",all skin types
"Ci 77491, Ci 77492, Ci 77499 (Iron Oxides)",Colorant,Adds color to products,all skin types
Ci 77742 (Manganese Violet),Colorant,Adds color to products,all skin types
Ascorbic Acid 10.0%,Vitamin C,"Antioxidant, brightening, collagen synthesis",all skin types
Ethoxydiglycol,"Solvent, Humectant","Solvent for active ingredients, moisturizing",all skin types
Zinc Sulfate,Mineral,"Skin healing, acne treatment","oily,acne-prone"
Panthenol,Vitamin B5,"Moisturizing, soothing, skin barrier repair",all skin types
Ferulic Acid 0.2%,Antioxidant,"Protects from free radicals, anti-aging",all skin types
Sodium Hydroxide,pH Adjuster,"pH balancing, acidity regulator",all skin types
Rose Hydrosol,Floral Water,"Soothing, moisturizing, calming","sensitive,dry"
Niacinamide (10%),Vitamin B3,"Brightening, anti-inflammatory, improves skin barrier",all skin types
Mulberry Extract,Plant Extract,"Brightening, antioxidant, skin tone improvement",all skin types
Licorice Root Extract,Plant Extract,"Brightening, anti-inflammatory","sensitive,dry"
Green Tea Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing",all skin types
Propanediol,"Humectant, Solvent","Moisturizing, skin conditioning",all skin types
Panthenol (2%),Vitamin B5,"Moisturizing, soothing, skin barrier repair",all skin types
Vegetable Glycerin,Humectant,"Moisturizing, emollient",all skin types
Glycine Soja Seed Extract,Plant Extract,"Moisturizing, antioxidant","dry,sensitive"
Sugar,Humectant,"Moisturizing, skin conditioning","dry,dehydrated"
Beet Root Extract,Plant Extract,"Antioxidant, moisturizing",all skin types
Allantoin,Skin Soothing Agent,"Healing, soothing, skin barrier repair","sensitive,dry"
Acacia Senegal Gum,Plant Gum,"Emulsifying, skin conditioning",all skin types
Xanthan Gum,Polysaccharide,"Thickening agent, emulsifier, stabilizer",all skin types
Disodium EDTA,Chelating Agent,"Preservative, stabilizes formulations",all skin types
Niacinamide,Vitamin B3,"Brightening, anti-inflammatory, improves skin barrier",all skin types
Zinc PCA,Zinc Compound,"Controls oil production, anti-inflammatory, regulates sebum","oily,acne-prone"
Carbamide (Urea),"Humectant, Exfoliant","Moisturizing, skin softening, exfoliation","dry,dehydrated"
Propylene Glycol,"Humectant, Solvent","Moisturizing, skin conditioning",all skin types
Glycerine,Humectant,"Moisturizing, emollient",all skin types
Sorbitol,Sugar Alcohol,"Moisturizing, skin conditioning",all skin types
Triethylamine,Amine,"pH adjuster, emulsifier",all skin types
Butylene Glycol,"Humectant, Solvent","Moisturizing, skin conditioning",all skin types
Green Tea Extract (Camellia Sinensis),Plant Extract,"Antioxidant, anti-inflammatory, soothing",all skin types
Phenoxyethanol,Preservative,"Preservative, antimicrobial",all skin types
Fragrance,Fragrance,"Scenting, adds pleasant fragrance",all skin types
Coenzyme Q10 (Ubiquinone),Antioxidant,"Anti-aging, free radical scavenger",all skin types
Demineral Water,Water,"Solvent, base for formulations",all skin types
Acetyl Glucosamine,Amino Sugar,"Moisturizing, brightening, anti-aging","dry,sensitive"
Potassium Hydrolyzed Polygamma-Glutamate,Amino Acid Derivative,"Skin conditioning, moisturizing","dry,sensitive"
Sodium Polyglutamate,"Polypeptide, Humectant","Moisturizing, skin barrier strengthening","dry,sensitive"
Centella Asiatica (Hydrocotyl) Leaf Extract,Plant Extract,"Soothing, healing, anti-inflammatory","sensitive,aging"
Glycyrrhiza Glabra (Liquorice) Root Extract,Plant Extract,"Skin brightening, anti-inflammatory","sensitive,uneven skin tone"
Glutamic Acid,Amino Acid,"Moisturizing, skin barrier function",all skin types
Lysine HCl,Amino Acid,"Skin conditioning, promotes collagen synthesis",all skin types
Lecithin,Lipid,"Emollient, skin conditioning","dry,sensitive"
Threonine,Amino Acid,"Moisturizing, skin conditioning",all skin types
Silica,Mineral,"Mattifying, smoothing, absorbent","oily,combination"
Arginine,Amino Acid,"Skin conditioning, moisturizing",all skin types
Alanine,Amino Acid,"Skin conditioning, moisturizing",all skin types
Proline,Amino Acid,"Skin conditioning, collagen production",all skin types
Serine,Amino Acid,"Moisturizing, skin conditioning",all skin types
Betaine,Amino Acid,"Hydrating, soothing","dry,sensitive"
Sclerotium Gum,Polysaccharide,"Skin conditioning, film-forming agent","dry,sensitive"
Sodium Lactate,"Humectant, Exfoliant","Moisturizing, pH balancing","dry,sensitive"
Pullulan,Polysaccharide,"Moisturizing, film-forming agent",all skin types
Pca (Pyrrolidone Carboxylic Acid),Humectant,"Moisturizing, skin conditioning",all skin types
Glycine,Amino Acid,"Skin conditioning, moisture retention",all skin types
Zinc Gluconate,"Mineral, Salt","Anti-inflammatory, acne treatment","oily,acne-prone"
Ethylhexylglycerin,Synthetic Humectant,"Preservative, moisturizing",all skin types
PEG-40 Hydrogenated Castor Oil,Synthetic Surfactant,"Solubilizer, emulsifier",all skin types
Ammonium Acryloyldimethyltaurate/?VP Copolymer,Synthetic Polymer,"Film-forming agent, texture enhancer",all skin types
Ethoxydiglycol,Solvent,"Solvent, enhances ingredient penetration",all skin types
Potassium Azeloyl Diglycinate,Active Ingredient,"Brightening, anti-inflammatory",all skin types
Azelaic Acid,Active Ingredient,"Anti-acne, brightening, anti-inflammatory","sensitive,acne-prone"
Acetyl Tetrapeptide-40,Peptide,"Anti-aging, skin conditioning",all skin types
Hydroxyacetophenone,Antioxidant,"Antioxidant, skin conditioning",all skin types
Chondrus Crispus Extract (Carrageenan),Plant Extract,"Moisturizing, soothing","dry,sensitive"
Pantolactone,Humectant,"Hydration, soothing",all skin types
amarindus Indica Seed Gum (Tamarind),Plant Extract,"Moisturizing, soothing","dry,sensitive"
THIAMIDOL,Active Ingredient,"Skin brightening, anti-aging",all skin types
Tamarindus Indica Seed Gum (Tamarind),Plant Extract,"Moisturizing, soothing","dry,sensitive"
Niacinamide,Active Ingredient,"Skin brightening, anti-aging",all skin types
Zinc Pca,Active Ingredient,"Sebum control, acne treatment","oily,acne-prone"
Vitamin E,Antioxidant,"Skin protection, anti-aging",all skin types
Ascorbyl Tetraisopalmitate,Vitamin C Derivative,"Antioxidant, brightening",all skin types
C15-19 Alkane,Emollient,"Skin conditioning, smoothing",all skin types
Jojoba Oil Esters,Plant Extract,"Moisturizing, soothing","dry,sensitive"
Saffron Extract,Plant Extract,"Skin brightening, anti-aging",all skin types
Ammonium Polyacryloyldimethyl Taurate,Surfactant,"Skin conditioning, cleansing",all skin types
Daisy Flower Extract,Plant Extract,"Skin brightening, anti-inflammatory",all skin types
Allanto?n,Humectant,"Soothing, moisturizing","sensitive,dry"
Rosewood Oil,Essential Oil,"Aromatherapy, soothing",all skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Stabilizer,"Skin conditioning, texture enhancement",all skin types
Methyl Gluceth-20,Humectant,"Skin conditioning, moisturizing",all skin types
Acacia Senegal Gum,Plant Extract,"Moisturizing, soothing","dry,sensitive"
Hyaluronic Acid,Humectant,"Hydration, plumping",all skin types
Xanthan Gum,Stabilizer,"Thickening agent, skin conditioning",all skin types
Ethylhexyl Glycerine,Emollient,"Moisturizing, skin conditioning",all skin types
"1,2-Hexanediol",Humectant,"Moisturizing, skin conditioning",all skin types
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightening, stable Vitamin C",all skin types
Propanediol,Humectant,"Skin conditioning, moisturizing",all skin types
Ferulic Acid,Antioxidant,"Skin protection, anti-aging",all skin types
Centella Asiatica Extract,Plant Extract,"Soothing, healing","sensitive,dry"
Tetrahydrodiferuloylmethane (Curcumin),Active Ingredient,"Anti-inflammatory, skin healing",all skin types
Panthenol,Humectant,"Hydration, soothing",all skin types
PEG-40 Hydrogenated Castor Oil,Emollient,"Skin conditioning, cleansing",all skin types
Polysorbate 20,Emulsifier,"Stabilizing agent, helps blend ingredients",all skin types
Disodium EDTA,Chelating Agent,"Preservative, improves product stability",all skin types
Lactic Acid (pH Adjuster),Exfoliant,"pH balancing, exfoliation",all skin types
Citric Acid,pH Adjuster,pH balancing,all skin types
Sodium Metabisulphite,Antioxidant,"Preservative, prevents oxidation",all skin types
Aloe Barbadensis Leaf Extract (Organic Aloe),Plant Extract,"Moisturizing, soothing","sensitive,dry"
Dipotassium Glycyrrhizate,Active Ingredient,"Anti-inflammatory, soothing","sensitive,dry"
Hamamelis Virginiana (Witch Hazel) Leaf Extract (Organic),Plant Extract,"Soothing, anti-inflammatory","sensitive,oily"
Rosmarinus Officinalis (Rosemary) Extract (Organic),Plant Extract,"Antioxidant, soothing",all skin types
Eucalyptus Globulus (Eucalyptus) Leaf Extract (Organic),Plant Extract,"Soothing, anti-inflammatory","sensitive,dry"
Thymus Vulgaris (Thyme) Extract (Organic),Plant Extract,"Antimicrobial, soothing",all skin types
Aspalathus Linearis (Rooibos) Extract (Organic),Plant Extract,"Antioxidant, soothing","sensitive,dry"
Dipropylene Glycol,Solvent,"Solubilizing, skin conditioning",all skin types
Chlorphenesin,Preservative,"Antimicrobial, preservative",all skin types
Sorbitan Isostearate,Emulsifier,"Stabilizing, helps blend ingredients",all skin types
Polysorbate 60,Emulsifier,"Stabilizing, helps blend ingredients",all skin types
Diphenyl Dimethicone,Silicone,"Skin conditioning, smoothing",all skin types
Triethylhexanoin,Emollient,"Skin conditioning, softening",all skin types
Polyglyceryl-10 Oleate,Emulsifier,"Stabilizing, moisturizing",all skin types
Hydrogenated Lecithin,Emollient,"Skin conditioning, moisturizing",all skin types
Pyrus Malus (Apple) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning",all skin types
Ethoxydiglycol,Solvent,"Solubilizing agent, improves product stability",all skin types
PEG-12 Dimethicone,Silicone,"Skin conditioning, texture enhancer",all skin types
Punica Granatum (Pomegranate) Extract,Plant Extract,"Antioxidant, skin brightening",all skin types
Vaccinium Angustifolium (Blueberry) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning",all skin types
Caprylyl Glycol,Humectant,"Moisturizing, skin conditioning",all skin types
Hexylene Glycol,Solvent,"Solubilizing agent, improves product stability",all skin types
Panthenol (Vitamin B5),Vitamin,"Moisturizing, healing, anti-inflammatory",all skin types
Centella Asiatica Extract,Plant Extract,"Healing, anti-inflammatory, soothing","sensitive,dry"
Sodium Hyaluronate Crosspolymer,"Humectant, Polymer","Moisturizing, skin conditioning",all skin types
Acetyl Hexapeptide-8,Peptide,"Anti-aging, wrinkle-reducing",all skin types
Isopentyldiol,Humectant,"Skin conditioning, moisturizing",all skin types
Citronellol,Plant Extract,"Fragrance, soothing, anti-inflammatory","sensitive,dry"
Geraniol,Plant Extract,"Fragrance, anti-inflammatory","sensitive,dry"
Cinnamaldehyde,Plant Extract,"Fragrance, anti-inflammatory","sensitive,dry"
Citronellyl Acetate,Plant Extract,"Fragrance, soothing","sensitive,dry"
Citrus Sinensis Oil,Essential Oil,"Fragrance, antioxidant, brightening","oily,acne-prone"
D-Limonene,Essential Oil,"Fragrance, antioxidant, antimicrobial","oily,acne-prone"
Alpha-Arbutin,Active Ingredient,"Skin brightening, hyperpigmentation treatment",all skin types
Bambusa Vulgaris Leaf/Stem Extract,Plant Extract,"Antioxidant, soothing, anti-inflammatory","sensitive,dry"
Sodium Gluconate,Chelating Agent,"Stabilizing agent, preservative",all skin types
Malpighia Punicifolia Fruit Extract,Plant Extract,"Antioxidant, anti-aging, brightening",all skin types
Resveratrol,Active Ingredient,"Antioxidant, anti-aging, skin protection",all skin types
Rubus Chamaemorus Seed Oil,Plant Oil,"Moisturizing, anti-inflammatory","dry,sensitive"
Hydroxydimethoxy Benzylmalonate,Active Ingredient,"Skin brightening, antioxidant",all skin types
Decylene Glycol,Humectant,"Moisturizing, preservative",all skin types
Coco-Caprylate/Caprate,Emollient,"Skin conditioning, moisturizing",all skin types
Undecane,Solvent,"Solvent, skin conditioning",all skin types
Tridecane,Solvent,"Solvent, skin conditioning",all skin types
Fomes Officinalis Extract,Plant Extract,"Moisturizing, soothing","dry,sensitive"
Avena Sativa Kernel Extract,Plant Extract,"Soothing, anti-inflammatory","sensitive,dry"
Sclerotium Gum,Natural Gum,"Skin conditioning, thickener",all skin types
Bisabolol,Plant Extract,"Anti-inflammatory, soothing","sensitive,dry"
Camellia Sinensis Seed Oil,Plant Oil,"Antioxidant, moisturizing",all skin types
Hibiscus Syriacus Flower Extract,Plant Extract,"Moisturizing, soothing","sensitive,dry"
Coptis Japonica Extract,Plant Extract,"Anti-inflammatory, soothing","sensitive,acne-prone"
Caprylic/Capric Triglyceride,Emollient,"Moisturizing, skin conditioning",all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Polymer,"Thickening agent, stabilizer",all skin types
Tromethamine,pH Adjuster,pH balancing,all skin types
Sodium Gluconate,Chelating Agent,"Improves product stability, prevents metal ion contamination",all skin types
Tetrasodium Ethylenediaminetetraacetic Acid Tetrasodium Salt,Chelating Agent,"Stabilizer, improves formulation stability",all skin types
Santalum Austrocaledonicum Wood Water (Sandalwood),Plant Extract,"Soothing, anti-inflammatory","dry,sensitive"
Maize Carbohydrate (Organic Sunflower),Plant Extract,"Moisturizing, conditioning",all skin types
Ethylhexyl Palmitate,Emollient,"Emollient, skin softening","dry,sensitive"
Glyceryl Stearate,Emulsifier,"Stabilizes emulsions, skin conditioning",all skin types
Undaria Pinnatifida Cell Culture Extract (Wakame Bioferment),Plant Extract,"Antioxidant, soothing",all skin types
Cocos Nucifera Oil (Organic Coconut),Oil,"Moisturizing, nourishing","dry,sensitive"
Astaxanthin (Haematococcus Pluvialis Extract),Antioxidant,"Protects against free radicals, skin rejuvenating",all skin types
Theobroma Cacao Seed Butter (Organic Cocoa),Butter,"Nourishing, moisturizing","dry,sensitive"
Beeswax,Wax,"Moisturizing, protective barrier","dry,sensitive"
Cetyl Alcohol,Fatty Alcohol,"Emulsifier, thickener",all skin types
Potassium Stearate,Emulsifier,Stabilizes emulsions,all skin types
Simmondsia Chinensis Seed Oil (Organic Jojoba),Oil,"Moisturizing, balancing oil production","oily,sensitive"
Ubiquinone (CoQ10),"Active Ingredient, Antioxidant","Protects against aging, skin rejuvenating",all skin types
Sodium Carbomer,Thickener,"Thickening agent, stabilizer",all skin types
"Caesalpinia Spinosa Gum (Tara, Botanical Hyaluronic Acid)","Plant Extract, Humectant","Hydrating, moisture-retaining",all skin types
Curcuma Longa Rhizome Extract (Turmeric),Plant Extract,"Anti-inflammatory, brightening",all skin types
Hydrangea Arborescens Root Extract (Hydrangea),Plant Extract,"Moisturizing, soothing",all skin types
Prunus Virginiana Bark Extract (Wild Cherry),Plant Extract,"Antioxidant, soothing",sensitive
